Ticker,Num Trades,Avg % Profit,Total % Profit
KDP,4,0.883875,3.5355
CBOE,4,0.874725,3.4989
CSGP,5,0.6910399999999999,3.4551999999999996
LDOS,5,0.66676,3.3338
TRV,5,0.6259,3.1295
SJM,5,0.61548,3.0774
STX,5,0.61176,3.0587999999999997
TPL,4,0.7576749999999999,3.0306999999999995
CVS,5,0.5839399999999998,2.919699999999999
EXC,5,0.5489600000000001,2.7448000000000006
MMC,4,0.6638749999999999,2.6554999999999995
APD,4,0.653775,2.6151
MDT,5,0.5213799999999997,2.6068999999999987
TSN,4,0.6341000000000001,2.5364000000000004
AME,5,0.5069799999999998,2.534899999999999
WM,3,0.7788666666666666,2.3366
MLM,6,0.33488333333333326,2.0092999999999996
DAY,4,0.45487500000000014,1.8195000000000006
TDY,3,0.5510333333333334,1.6531000000000002
FRT,5,0.27698000000000034,1.3849000000000016
REG,5,0.2406399999999998,1.203199999999999
IFF,4,0.2682000000000001,1.0728000000000004
ELV,4,0.25482499999999986,1.0192999999999994
TT,4,0.25370000000000026,1.014800000000001
TMO,2,0.3495999999999997,0.6991999999999994
DOC,6,0.11094999999999988,0.6656999999999993
ZBH,6,0.10536666666666676,0.6322000000000005
PSA,4,0.12260000000000004,0.49040000000000017
PEP,5,0.08441999999999998,0.4220999999999999
CPT,5,0.020540000000000225,0.10270000000000112
VRTX,5,0.016219999999999856,0.08109999999999928
PNW,4,-0.05857499999999982,-0.2342999999999993
MO,3,-0.08856666666666646,-0.2656999999999994
NDSN,5,-0.0558799999999998,-0.279399999999999
SYF,3,-0.0954,-0.2862
COP,4,-0.09629999999999994,-0.38519999999999976
LIN,3,-0.1621999999999999,-0.4865999999999997
SO,4,-0.1232249999999997,-0.4928999999999988
NTAP,5,-0.10788000000000011,-0.5394000000000005
D,4,-0.18877499999999992,-0.7550999999999997
KIM,4,-0.2148500000000002,-0.8594000000000008
ROST,6,-0.1629666666666664,-0.9777999999999984
EW,5,-0.20176000000000033,-1.0088000000000017
MSI,5,-0.2202000000000001,-1.1010000000000004
NEE,5,-0.22815999999999975,-1.1407999999999987
EMN,4,-0.29589999999999983,-1.1835999999999993
K,4,-0.318475,-1.2739
LMT,4,-0.32785000000000003,-1.3114000000000001
LHX,4,-0.347475,-1.3899
UNH,5,-0.2913599999999999,-1.4567999999999994
COR,4,-0.36824999999999974,-1.472999999999999
ABNB,1,-1.4765,-1.4765
PPL,5,-0.3106800000000002,-1.5534000000000008
CMCSA,5,-0.31583999999999984,-1.5791999999999993
AWK,4,-0.3986750000000001,-1.5947000000000005
TPR,4,-0.41200000000000037,-1.6480000000000015
NDAQ,5,-0.37121999999999994,-1.8560999999999996
APO,4,-0.5435499999999998,-2.174199999999999
GS,5,-0.4459400000000002,-2.229700000000001
MRNA,5,-0.4530199999999997,-2.2650999999999986
PGR,5,-0.4763399999999997,-2.3816999999999986
LOW,4,-0.6065499999999999,-2.4261999999999997
NOC,5,-0.52042,-2.6021
TJX,6,-0.43791666666666657,-2.6274999999999995
BSX,5,-0.5373000000000001,-2.6865000000000006
HAS,5,-0.5501,-2.7505
EBAY,5,-0.5510200000000001,-2.7551000000000005
AEP,4,-0.6974749999999998,-2.7898999999999994
V,4,-0.8027999999999996,-3.2111999999999985
INCY,5,-0.67638,-3.3819
MTB,5,-0.68354,-3.4177
USB,4,-0.935225,-3.7409
CTRA,5,-0.7854600000000004,-3.927300000000002
WTW,4,-0.9857750000000003,-3.943100000000001
GD,6,-0.6632833333333331,-3.979699999999999
JBHT,3,-1.4321666666666664,-4.296499999999999
DLTR,6,-0.7306833333333328,-4.3840999999999966
GLW,3,-1.4798333333333333,-4.4395
ADM,5,-0.8919200000000004,-4.459600000000002
KMB,4,-1.1338,-4.5352
XYL,3,-1.5454666666666672,-4.636400000000002
MOH,4,-1.1617250000000006,-4.646900000000002
DELL,4,-1.2007249999999998,-4.802899999999999
MCO,4,-1.220075,-4.8803
HPQ,3,-1.6687666666666665,-5.0062999999999995
HII,4,-1.307175,-5.2287
DUK,4,-1.31135,-5.2454
WAT,4,-1.5061749999999998,-6.024699999999999
HUM,5,-1.2133199999999997,-6.066599999999998
T,6,-1.0169833333333331,-6.101899999999999
MU,5,-1.23732,-6.186599999999999
MRK,4,-1.572025,-6.2881
CMS,4,-1.573375,-6.2935
CHD,3,-2.098466666666667,-6.295400000000001
WDC,5,-1.2701999999999998,-6.350999999999999
PLD,4,-1.6131,-6.4524
BRO,5,-1.3309,-6.6545
CB,5,-1.44354,-7.217700000000001
FOXA,6,-1.2453,-7.4718
HSIC,4,-1.954475,-7.8179
AMP,4,-1.9686750000000002,-7.874700000000001
SRE,4,-2.00945,-8.0378
AZO,5,-1.6497400000000002,-8.248700000000001
SBAC,4,-2.1061,-8.4244
HON,5,-1.69016,-8.450800000000001
ALL,5,-1.7434,-8.717
CSCO,5,-1.74346,-8.7173
SPGI,4,-2.208675,-8.8347
PM,6,-1.4896666666666665,-8.937999999999999
BXP,5,-1.7980600000000002,-8.990300000000001
CI,4,-2.2837750000000003,-9.135100000000001
PEG,5,-1.8729,-9.3645
XEL,4,-2.3453500000000003,-9.381400000000001
IBM,5,-1.8875000000000004,-9.437500000000002
AKAM,6,-1.581533333333333,-9.489199999999999
GDDY,5,-1.8986000000000005,-9.493000000000002
NRG,5,-1.9153999999999995,-9.576999999999998
BMY,4,-2.424975,-9.6999
AVY,5,-1.9492,-9.746
EIX,4,-2.4393249999999997,-9.757299999999999
KO,4,-2.4398,-9.7592
BK,5,-1.96856,-9.8428
LII,3,-3.319466666666667,-9.958400000000001
EXPE,6,-1.6763833333333331,-10.0583
AON,4,-2.626175,-10.5047
DPZ,5,-2.1391,-10.695500000000001
IEX,5,-2.16312,-10.815600000000002
FOX,6,-1.8391833333333334,-11.0351
NI,4,-2.7741,-11.0964
CME,6,-1.8698499999999996,-11.219099999999997
BRK-B,5,-2.24552,-11.2276
AEE,4,-2.8722,-11.4888
BBY,4,-2.883675,-11.5347
MDLZ,4,-2.9768749999999997,-11.907499999999999
EXR,6,-1.999083333333333,-11.994499999999999
HLT,6,-2.0085833333333336,-12.0515
ECL,5,-2.4205799999999997,-12.102899999999998
JKHY,7,-1.7379285714285715,-12.1655
ADI,4,-3.062775,-12.2511
STE,6,-2.0506333333333338,-12.303800000000003
LNT,4,-3.1618,-12.6472
PANW,5,-2.5621400000000003,-12.8107
AFL,6,-2.1374333333333335,-12.8246
AMAT,3,-4.288,-12.864
PNC,4,-3.2912500000000002,-13.165000000000001
VST,5,-2.7922000000000002,-13.961
FDX,5,-2.81122,-14.0561
VTRS,5,-2.8321199999999997,-14.160599999999999
ATO,4,-3.607775,-14.4311
ALLE,7,-2.1508,-15.0556
CPAY,5,-3.08174,-15.4087
CTVA,6,-2.5887666666666664,-15.532599999999999
ULTA,5,-3.2510600000000003,-16.255300000000002
WEC,4,-4.094825,-16.3793
HSY,6,-2.745233333333333,-16.4714
WFC,5,-3.3004599999999997,-16.502299999999998
VZ,5,-3.3016999999999994,-16.508499999999998
UHS,4,-4.181725,-16.7269
MCHP,4,-4.315250000000001,-17.261000000000003
EVRG,5,-3.54254,-17.712699999999998
RTX,5,-3.5968599999999995,-17.984299999999998
UDR,5,-3.7535399999999997,-18.767699999999998
CCI,5,-3.84238,-19.2119
MMM,5,-3.9584399999999995,-19.792199999999998
L,5,-4.05588,-20.2794
ED,5,-4.1409199999999995,-20.7046
AMCR,5,-4.17922,-20.8961
HCA,5,-4.26312,-21.3156
RL,7,-3.0469571428571425,-21.328699999999998
NTRS,6,-3.8882166666666667,-23.3293
CAH,4,-5.84085,-23.3634
CNC,5,-4.6980200000000005,-23.4901
AMT,5,-4.760980000000001,-23.804900000000004
MCK,4,-6.1865749999999995,-24.746299999999998
INTC,4,-6.48015,-25.9206
BAX,7,-3.8504857142857145,-26.953400000000002
AVB,6,-4.529216666666667,-27.1753
BIIB,6,-4.933783333333333,-29.6027
SCHW,4,-7.617925,-30.4717
WBA,5,-6.22692,-31.1346
CPB,6,-5.422283333333334,-32.5337
ESS,5,-6.599119999999999,-32.995599999999996
TAP,4,-8.621125000000001,-34.484500000000004
EQR,6,-6.299833333333333,-37.799
CINF,5,-9.0245,-45.1225
OMC,7,-6.634457142857143,-46.4412
LYV,4,-12.064975,-48.2599
FE,7,-8.306314285714285,-58.1442
