Ticker,Buy Date,Buy Price,Sell Date,Sell Price,Percentage Profit
PG,2020-01-22,109.5312,2020-02-25,105.925,-3.2923
PG,2020-04-13,101.1447,2020-05-11,101.2573,0.1113
PG,2020-06-08,104.5415,2020-07-31,115.8671,10.8336
PG,2020-10-07,124.3327,2020-11-05,126.5159,1.7559
APO,2020-04-14,31.6892,2020-04-28,35.402,11.7162
APO,2020-07-22,46.8281,2020-08-04,43.1921,-7.7646
APO,2020-10-08,41.7619,2020-10-20,35.7667,-14.3557
APO,2020-11-17,40.7123,2020-12-31,44.0629,8.2299
EA,2020-04-08,104.0529,2020-05-06,112.3538,7.9775
EA,2020-10-15,127.9618,2020-10-28,122.3694,-4.3703
EA,2020-12-03,125.2445,2020-12-17,136.4344,8.9344
ALB,2020-04-21,54.3797,2020-05-11,60.5357,11.3204
ALB,2020-07-15,81.7664,2020-09-02,94.088,15.0693
ALB,2020-10-14,89.6634,2020-11-06,106.3751,18.6384
FFIV,2020-04-08,120.9,2020-04-29,142.69,18.0232
FFIV,2020-07-17,149.43,2020-07-29,137.74,-7.8231
FFIV,2020-10-09,127.56,2020-11-06,144.37,13.1781
EXC,2020-04-17,22.6906,2020-05-04,20.9256,-7.7783
EXC,2020-05-27,22.6384,2020-06-09,24.1719,6.7739
EXC,2020-07-22,23.2649,2020-08-20,21.8823,-5.9429
EXC,2020-10-09,23.624,2020-11-10,25.908,9.6684
EXC,2020-12-28,25.6682,2020-12-31,25.6743,0.0237
HST,2020-04-20,9.2068,2020-05-01,9.7524,5.926
HST,2020-05-28,10.2553,2020-06-09,12.3183,20.1164
HST,2020-08-11,9.9484,2020-08-24,9.454,-4.97
HST,2020-10-13,9.5222,2020-10-29,8.9681,-5.8192
HST,2020-11-11,10.9288,2020-11-24,12.6423,15.6787
LYV,2020-02-19,76.08,2020-03-03,57.61,-24.2771
LYV,2020-04-30,44.87,2020-05-12,38.16,-14.9543
LYV,2020-07-21,49.18,2020-08-04,47.76,-2.8874
LYV,2020-10-22,56.83,2020-11-03,53.34,-6.1411
ULTA,2020-04-17,215.51,2020-05-14,200.97,-6.7468
ULTA,2020-05-28,243.31,2020-06-12,226.63,-6.8554
ULTA,2020-07-31,192.99,2020-08-11,216.19,12.0213
ULTA,2020-10-14,239.67,2020-10-27,213.38,-10.9692
ULTA,2020-11-16,275.29,2020-12-22,265.09,-3.7052
AMZN,2020-04-02,95.9415,2020-04-14,114.166,18.9954
AMZN,2020-10-13,172.1815,2020-10-26,160.352,-6.8704
AMZN,2020-12-04,158.129,2020-12-17,161.804,2.3241
LYB,2020-04-16,35.5297,2020-04-29,43.0596,21.1931
LYB,2020-07-23,50.2103,2020-08-04,47.2366,-5.9225
LYB,2020-08-17,49.9479,2020-09-14,56.612,13.3421
LYB,2020-10-09,59.0914,2020-10-27,54.3028,-8.1037
LYB,2020-11-18,60.8381,2020-12-18,68.0998,11.9362
ANET,2020-04-06,12.975,2020-06-01,14.665,13.025
ANET,2020-07-22,14.6144,2020-08-04,16.4994,12.8983
ANET,2020-10-12,14.2656,2020-10-23,13.3819,-6.195
ANET,2020-11-04,15.9025,2020-12-09,17.3494,9.0984
DG,2020-01-06,143.3275,2020-02-05,145.8501,1.7601
DG,2020-03-11,146.1933,2020-03-24,131.5304,-10.0298
DG,2020-04-08,157.2915,2020-05-28,171.1319,8.7992
DG,2020-07-22,181.739,2020-10-08,204.1857,12.3511
DG,2020-12-03,200.0904,2020-12-31,196.1817,-1.9534
HCA,2020-02-14,142.9083,2020-02-25,127.0763,-11.0784
HCA,2020-04-16,103.8462,2020-05-07,98.3049,-5.336
HCA,2020-06-01,104.3351,2020-06-12,96.3971,-7.6082
HCA,2020-07-22,117.3638,2020-08-31,130.1145,10.8643
HCA,2020-10-15,132.099,2020-10-28,121.3232,-8.1573
ROP,2020-04-16,301.0668,2020-05-06,340.9307,13.2409
ROP,2020-07-20,403.661,2020-09-01,424.2509,5.1008
ROP,2020-10-14,415.8463,2020-10-28,357.7246,-13.9767
ROP,2020-11-25,407.3388,2020-12-31,419.6231,3.0158
ACGL,2020-05-27,28.4509,2020-06-09,32.6919,14.9064
ACGL,2020-07-23,29.6585,2020-09-14,29.5159,-0.4809
ACGL,2020-10-14,28.9644,2020-11-10,33.4906,15.6271
ACGL,2020-12-17,33.8044,2020-12-31,34.2989,1.4627
SBAC,2020-04-09,286.7532,2020-05-01,268.8904,-6.2293
